"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed","MeanDischarge_SJ","MeanDischarge_Sac","MeanDischarge_Delta","MeanDischarge_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanDischarge_SJ_scaled","MeanDischarge_Sac_scaled","MeanDischarge_Delta_scaled","MeanDischarge_Yolo_scaled","FlowTiming_SJ_scaled","FlowTiming_Sac_scaled","FlowTiming_Delta_scaled","FlowTiming_Yolo_scaled","MeanWT_Delta_scaled","MeanWT_Liberty_Island_scaled","MeanWT_Sacramento_scaled","MeanWT_San_Joaquin_scaled","MeanWT_Yolo_scaled"
1995,0.0150595765015408,NA,0.125560134310134,NA,NA,NA,21078.6885245902,62322.9508196721,94501.2950819672,11090.9672131148,98.6708006256628,76.4064699809154,75.8872362957325,65.2910595874238,19.0885388627464,NA,19.5317476363409,NA,NA,1.73368450021184,1.93556363509882,1.80013409595283,1.16739060382863,1.69842156525837,0.771352761541695,0.557395811563975,-0.00839035398315345,-3.02940142989054,NA,-1.71782239199622,NA,NA
1996,0.00914448576284616,NA,0.039216767629917,NA,NA,NA,7968.52459016393,38081.9672131148,44059.4098360656,1223.95081967213,82.6094583278241,74.0669225794912,72.0811086494336,56.9715907066667,21.6850154125748,NA,20.9358483496166,NA,NA,0.0362206837949805,0.606483146654182,0.260224110762799,-0.281264722785929,0.0926253555373385,0.486065593289972,0.207543309837356,-0.404096779578452,-0.369666471945191,NA,-0.443713509420695,NA,NA
1997,0.000859484319978147,NA,0.00183531746031746,NA,NA,NA,4757.04918032787,12433.9344262295,13266.0327868852,480.55737704918,46.7518977669959,44.3535311726609,31.8334832090169,15.4471751400678,22.2299876614088,NA,20.4550000622159,NA,NA,-0.379591302445281,-0.799742792742785,-0.679848381860919,-0.390408239679421,-3.49237605783572,-3.13722038435226,-3.49194702716638,-2.37916012728789,0.188583030223292,NA,-0.880044798448544,NA,NA
1998,0.0615515288600797,NA,0.0255001084073054,NA,NA,NA,19909.8360655738,52890.1639344262,77724.3770491803,4015.14754098361,82.4589647777722,73.3930418326255,68.8407559473376,50.1796982329346,20.7735844017094,NA,19.022619047619,NA,NA,1.58234506877268,1.41838441480326,1.28796165288376,0.128533116472163,0.0775791677543123,0.403891780570621,-0.0903041626212307,-0.727145706418547,-1.30330283446671,NA,-2.17981578828922,NA,NA
1999,0.00136663832199546,NA,0.059913761099277,NA,NA,NA,5986.88524590164,25116.3934426229,28752.8196721311,1147.5737704918,73.67928791385,66.8845734969089,65.6094407683897,62.5666356281168,21.2305344995998,NA,21.4578571183341,NA,NA,-0.220355900670169,-0.104391106616169,-0.20706157687056,-0.292478246176821,-0.800203745356186,-0.389758521202383,-0.387320921983309,-0.137974595741321,-0.835219982158253,NA,0.0299676180915618,NA,NA
2000,0.00149285961227926,NA,0.021326788291074,NA,0,NA,4911.47540983607,23493.4426229508,24678.0163934426,506.475409836066,79.5919900005208,69.9598575312296,69.1677014511726,61.1900541448935,21.8676388734863,NA,21.080952212924,NA,25.14,-0.359596667884877,-0.193373975592986,-0.331458796085267,-0.386603006693587,-0.209057972859743,-0.014754760566038,-0.0602519118628538,-0.203450186319815,-0.182593724009399,NA,-0.312043381068815,NA,1.88676748893263
2001,0.0019713130736977,NA,0.00258763227513227,0,0,NA,3271.96721311475,10656.393442623,10942.3606557377,425.180327868852,80.045621529261,67.1112703526476,69.2935649492995,75.8743798694103,22.3150804092224,NA,20.9661903782496,24.8513888518016,22.57,-0.571875160707177,-0.897201504693859,-0.750786371185031,-0.398538585679514,-0.163704366918664,-0.362114839357813,-0.0486827623787175,0.494993684077455,0.275748907397265,NA,-0.416180549832299,0.913630222529904,-1.26815562097539
2002,0.0154583379002291,NA,0.00595509493078937,0,0,NA,2669.67213114754,13710.4918032787,12761.9344262295,377.180327868852,77.4571483421551,59.0767045454545,57.5771802919264,21.3473048127874,22.4253992213991,NA,21.4583332992735,24.8083332379659,23.475,-0.649858480638097,-0.729751923982939,-0.695237697611261,-0.405585848287054,-0.422497209742178,-1.3418592659383,-1.12563205690887,-2.09852692139408,0.388755435911818,NA,0.0303997141363271,0.890735554938001,-0.157180751533072
2003,0.00231991325587385,0.000158730158730159,0.04191380428434,0.00740298061726633,NA,NA,2646.06557377049,31218.0327868852,32158.7868852459,1582.98360655738,81.7728458000059,69.2512940996696,70.638327306279,46.7879845757733,22.1824425091689,23.141666674614,21.1664284978594,23.4198809139312,NA,-0.652914985284273,0.23014852806233,-0.103082851746851,-0.228552257496397,0.00898170974091094,-0.101157820744868,0.0749254080604859,-0.888468851820575,0.139879527200429,2.25661692699367,-0.234480501956224,0.152431032156684,NA
2004,0.0333416314253899,0,0.00263897478183192,0.00231481481481481,NA,NA,2697.86885245902,18070.4918032787,17137.4754098361,455.918032786885,81.6749626423455,62.6344260977863,62.3119333282769,56.8191639510425,NA,21.6885119358699,21.1421430542356,23.8493753552437,NA,-0.646207655644053,-0.490702592335724,-0.561659437829398,-0.394025738210546,-0.000804546018521796,-0.908026505603972,-0.690421956576144,-0.411346791267619,NA,-0.0962482159394644,-0.256517595980798,0.380813154496305,NA
