"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed"
1995,0.0276280157742349,NA,0.102702926647867,NA,NA,NA
1996,0.0315308568908604,NA,0.520559344380367,NA,NA,NA
1997,0.00161093822625809,NA,0.0473564168231827,NA,NA,NA
1998,0.0197963571104354,NA,0.200430044037052,NA,NA,NA
1999,0.0190460382833888,NA,0.0249918902746284,NA,NA,NA
2000,0.011692175915846,NA,0.0643479811634574,NA,0,NA
2001,0.00654049922117503,NA,0.32410529198435,0,0,NA
2002,0.00292386649982666,NA,0.0349641220652997,0,0,NA
2003,0.0142580264563023,0.000395061728395062,0.146671176892091,0.000566893424036281,NA,NA
2004,0.00685920768923414,0,0.0588254950166476,0,NA,NA
2005,0.0134343581881243,NA,0.198844108190925,0.00533259344271249,NA,NA
2006,0.00885139790144579,NA,0.0734807522094937,0.0123755926613069,NA,NA
2007,0.00476250086109844,NA,0.185336189230865,0,NA,NA
2008,0.00564295912838606,NA,0.414689414683841,0,0,NA
2009,0.00938780144041015,NA,0.0848597613855207,0,0,NA
2010,0.0120724298300272,0,0.0790123743750638,0.00498894844132939,0,0.0960737526464203
2011,0.120459171304622,0.00277303106250475,0.560002664807642,0.00752105661827884,0.000863462700765188,0.691619386493813
2012,0.0140479201610868,0,0.260306818125368,0,0,0.274354738286455
2013,0.00240320206436107,0,0.215872536304084,0.00465608465608466,0,0.22293182302453
2014,0.017579164782628,0,0.62064132763495,0.0131657848324515,0,0.65138627725003
2015,0.000451360285332188,0,0.156280386419221,0,0,0.156731746704554
2016,0.00399904214559387,0,0.598468609742278,0,0,0.602467651887871
2017,0.0162930930860442,0,0.171758914153685,0,0,0.188052007239729
2018,0.00274218583444774,0.00444444444444444,0.164093488265115,0.00173907882241216,0,0.17301919736642
2019,0.0709522906928463,0.0820512820512821,0.634306631409403,0.00353535353535354,0,0.790845557688885
