"Year","Index_Delta","Index_LI","Index_SJ","Index_Sac","Index_Yolo","log_Index_Delta","log_Index_LI","log_Index_SJ","log_Index_Sac","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_LI","MeanWT_Sac","MeanWT_SJ","MeanWT_Yolo"
1995,0.00759321436206357,NA,4.53223205427974,0,NA,-4.88050027761213,NA,1.51121454535882,NA,NA,NA,15828.3116883117,41774.025974026,51954.2467532468,1092.85714285714,159.998720031507,161.267456320338,157.764597321769,134.279607843137,18.3370393587997,NA,18.4528182737151,17.7030081935779,NA
1996,0.0115839742641706,NA,0.239400091751282,0,NA,-4.4581326650116,NA,-1.42961910260319,NA,NA,NA,4880,29270.1298701299,24408.1558441558,430.922077922078,156.471417926336,161.336542727837,153.709267926199,144.604984780447,20.2724835139149,NA,19.8499489533608,18.2351457563221,NA
1997,0.109916766245994,NA,1.43098078329849,0.00387269806912664,NA,-2.2080318701003,NA,0.358360071622155,-5.55380383936946,NA,NA,2898.7012987013,15932.3376623377,9858.15584415584,565.285714285714,158.419982078853,172.200376592571,164.847088178026,168.354446665288,21.6459122330321,NA,20.1689297756867,20.8730837747783,NA
1998,0.326297124634495,NA,3.12176734080165,0,NA,-1.11994688745204,NA,1.13839929683124,NA,NA,NA,16929.8701298701,44783.1168831169,58445.2857142857,1883.57142857143,165.237342743173,162.362062465563,161.39696179377,159.150839452546,19.0414286563706,NA,17.4870281305669,18.675326414762,NA
1999,0.00588477845285398,NA,0.59283861546302,0.0639353593569863,0.0941127508734607,-5.13538618505262,NA,-0.522833066327261,-2.74988271607341,-2.36326173813315,NA,3328.57142857143,18998.7012987013,14530.4155844156,617.961038961039,158.832032774093,168.389910451842,160.671976918993,167.698631864321,20.2045140416843,NA,21.199005190776,21.1852434174231,NA
2000,0.11521335657975,NA,4.61556929399808,0.25290120798199,NA,-2.16096959490861,NA,1.52943521765962,-1.3747563487973,NA,NA,3020.25974025974,18201.2987012987,11925.2077922078,595.077922077922,159.775971792226,168.912736353907,159.742464124342,170.893171253355,20.5420598652812,NA,20.7357551287804,19.6464785919833,24.6525
2001,0.0265732138782734,NA,4.19992417744935,0.0247903138528139,NA,-3.62785156761405,NA,1.43506647213812,-3.69730227255476,NA,NA,2034.67532467532,12217.012987013,7327.11688311688,572.545454545455,158.340588498117,170.837845882365,161.271928860593,166.149162999592,22.262581495671,NA,21.1758574563663,21.6731985971309,22.13
2002,0.0568723580023541,NA,4.78440733901653,0.0824739441371386,0,-2.86694585549585,NA,1.5653621591391,-2.49527286416662,NA,NA,1683.63636363636,15305.8441558442,8864.90909090909,550.077922077922,160.078987966677,170.368597004794,159.733988379691,169.583081499669,21.5125554735829,NA,20.4709265164679,21.2954023820454,22.1263157894737
2003,0.0858474391125615,0,5.20431796266291,0.153183417992942,0,-2.45518352187319,NA,1.64948865844995,-1.87611926517775,NA,5.44334881976842,1922.46753246753,26193.5064935065,17813.6753246753,658.493506493507,161.909815577923,161.504338341018,153.118392917159,162.551790785737,21.3600386918861,21.9811929924618,19.7296545658548,21.5831518110055,23.6102564102564
2004,0.110996442016929,0,4.29641381974912,0.222150273852187,0,-2.19825713208508,NA,1.45778067932468,-1.5044012168655,NA,4.62956053561824,1639.09090909091,16070.1298701299,8176.33766233766,568.272727272727,161.197527929641,172.226604170034,164.415824568203,169.541947574102,21.514156268325,20.6464544142642,20.6641875917254,21.5404791041267,22.5
