"Year","Index_Delta","Index_LI","Index_SJ","Index_Sac","Index_Yolo","log_Index_Delta","log_Index_LI","log_Index_SJ","log_Index_Sac","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_LI","MeanWT_Sac","MeanWT_SJ","MeanWT_Yolo"
1995,0.0271048208621511,NA,NA,0.100193306638247,NA,-3.60804367532502,NA,NA,-2.30065389258009,NA,NA,18210.4918032787,51267.2131147541,72821.1967213115,6679.88524590164,146.815247920493,145.802737185432,143.222485211363,126.160111222093,17.9275752083117,NA,17.5652500759619,17.6037618065036,NA
1996,0.0315308568908604,NA,NA,0.520559344380367,NA,-3.45678862879286,NA,NA,-0.652851383246856,NA,NA,6118.52459016393,31959.0163934426,30897.4426229508,532.688524590164,146.739731532835,149.306591433701,145.447705895336,142.817381670462,19.5210148514746,NA,19.3404637562151,18.2023798172693,NA
1997,0.00161093822625809,NA,NA,0.0473564168231827,NA,-6.43093852048953,NA,NA,-3.0500529495629,NA,NA,3733.44262295082,13284.7540983607,10361.3442622951,540.262295081967,145.010450513744,154.195910510014,147.617952604416,152.446898895497,20.9085912259403,NA,19.6904898304173,20.4343226568678,NA
1998,0.0197963571104354,NA,NA,0.200430044037052,NA,-3.92225734253028,NA,NA,-1.60729000066379,NA,NA,17855.737704918,51909.8360655738,69354.8360655738,2279.47540983607,151.266617701065,151.436033475446,150.631978339,153.711193257005,17.137451550964,NA,15.9998641356502,18.8278209764919,NA
1999,0.0190460382833888,NA,NA,0.0249918902746284,NA,-3.96089616316354,NA,NA,-3.6892038957543,NA,NA,4304.26229508197,18506.5573770492,18068.1967213115,587.360655737705,144.727985984156,149.119674018957,145.714734702765,152.026012448017,19.3499244680927,NA,20.5929349816875,20.7661187327379,16.33
2000,0.011692175915846,NA,NA,0.0643479811634574,0,-4.44883538601619,NA,NA,-2.74344971818338,NA,NA,3809.67213114754,18303.2786885246,15652.4918032787,562.491803278689,146.329360127372,149.41262875056,143.548542001378,155.401142457449,20.0194174664093,NA,20.2148550980677,19.4482748088246,23.195
2001,0.00654049922117503,NA,0,0.32410529198435,0,-5.02974178291328,NA,NA,-1.12668684072249,NA,NA,2554.4262295082,10694.4262295082,8626.03278688525,577.786885245902,143.481003722244,154.004644674719,149.079699651075,151.526457653568,21.5578766782572,NA,20.9401550926555,21.0910540343436,19.7225
2002,0.00292386649982666,NA,0,0.0349641220652997,0,-5.83484839483093,NA,NA,-3.35343282709908,NA,NA,2083.77049180328,13423.606557377,10557.9344262295,530.508196721311,144.713791204469,152.775084265546,147.592630202753,152.708939773184,20.2708577979245,NA,20.0181064306719,19.2942286135884,22.1846153846154
2003,0.0142580264563023,0.000395061728395062,0.000566893424036281,0.146671176892091,NA,-4.25043527074751,-7.83646853085485,-7.47533923656674,-1.91956208967377,NA,NA,2334.26229508197,31557.3770491803,27116.8852459016,1202.26229508197,147.9816700611,144.508519480519,139.364129784237,137.079317679784,20.1136019788055,19.5455337235662,18.5928925144845,20.0465935898128,22.559649122807
2004,0.00685920768923414,0,0,0.0588254950166476,NA,-4.98216334111085,NA,NA,-2.83317992933148,NA,NA,2035.40983606557,13809.8360655738,9130.98360655738,542.901639344262,146.133054123711,153.692070275404,147.335962943679,153.803031675574,21.1938502184126,20.3462572414487,20.3302919806016,21.4676753328404,22.2991666666667
2005,0.0134343581881243,NA,0.00533259344271249,0.198844108190925,NA,-4.30993980968777,NA,-5.2339175845257,-1.61523413718191,NA,NA,10198.6885245902,34531.1475409836,39672.393442623,1069.03278688525,150.190365202855,149.833032662362,147.290460889515,146.374308015519,19.0962218239914,NA,18.9620993669967,18.3966078790618,21.2440476190476
2006,0.00885139790144579,NA,0.0123755926613069,0.0734807522094937,NA,-4.72717987747024,NA,-4.39202907985138,-2.61073178175928,NA,NA,20957.3770491803,39881.9672131148,58702.5573770492,1922.45901639344,146.572903629537,144.534445905952,143.064178509273,132.176771552827,19.6185249150363,NA,18.9743287896179,19.7519419380685,18.35
2007,0.00476250086109844,NA,0,0.185336189230865,NA,-5.34698235772126,NA,NA,-1.68558386399933,NA,NA,2330.98360655738,10802.4590163934,8625.72131147541,572.081967213115,146.154863211196,153.729721526671,149.018976792627,153.871306989139,20.5453716434449,NA,20.7244729552071,19.448680056802,20.3333333333333
2008,0.00564295912838606,NA,0,0.414689414683841,0,-5.17734668290882,NA,NA,-0.88022543729348,NA,NA,1908.29508196721,10028.6885245902,7780.85245901639,589.098360655738,143.498488050444,154.761078872088,151.145514840972,153.980659524141,20.5824026382782,NA,20.0110391732002,20.4820908164307,20.4013665105929
2009,0.00938780144041015,NA,0,0.0848597613855207,0,-4.66834415157811,NA,NA,-2.46675525107238,NA,NA,1622.60655737705,14200,12038.9016393443,531.229508196721,145.011093262207,147.508162087278,143.752689709453,153.459959882734,20.8713192782866,NA,20.9327957508804,21.5559186170316,22.4840476190476
2010,0.0120724298300272,0,0.00498894844132939,0.0790123743750638,0,-4.41683095261473,NA,-5.30053012462659,-2.53815080112248,NA,0.0960737526464203,4541.63934426229,19080.3278688525,18637.4262295082,494.655737704918,148.396296563673,151.19967351147,147.398337383882,155.800888181878,19.1596467251425,19.192090936218,19.2008503077767,18.055915504561,21.4
2011,0.120459171304622,0.00277303106250475,0.00752105661827884,0.560002664807642,0.000863462700765188,-2.11644441081392,-5.88781431064248,-4.89004864314083,-0.579813736679189,-7.05455985671849,0.691619386493813,11669.5081967213,38003.2786885246,44589.1639344262,580.72131147541,148.824848280512,151.907816409283,149.722532747977,153.984840785908,18.0355932914158,18.5016025203205,18.2918639638796,16.6882063798874,21.1777973646541
2012,0.0140479201610868,0,0,0.260306818125368,0,-4.26528092539946,NA,NA,-1.34589427398863,NA,0.274354738286455,2303.77049180328,13775.9016393443,10433.606557377,584.639344262295,146.764107308048,150.881974938417,146.972305758504,154.155118750526,20.7674400593324,20.1571716069086,20.0331626180202,20.6940052493455,21.5724307692308
2013,0.00240320206436107,0,0.00465608465608466,0.215872536304084,0,-6.03095323738972,NA,-5.36958038656953,-1.53306715518455,NA,0.22293182302453,1540.90163934426,12275.5737704918,9002.70491803279,606.196721311475,139.291611255918,153.090516953566,149.265251791356,152.082427389258,21.045384838076,20.0339745415582,20.2143086002028,20.7582692749301,22.508145711501
2014,0.017579164782628,0,0.0131657848324515,0.62064132763495,0,-4.04104089737431,NA,-4.3301338727366,-0.477001936154217,NA,0.65138627725003,939.770491803279,7299.01639344262,4780.11475409836,616.885245901639,137.364337298957,155.26738388285,153.440640357766,154.503614137656,21.9041975951811,21.8131578494747,22.1055601756621,20.2610022496705,22.3700491567082
2015,0.000451360285332188,0,0,0.156280386419221,0,-7.70324467854979,NA,NA,-1.85610353619005,NA,0.156731746704554,266.27868852459,7106.72131147541,5361.80327868852,601.770491803279,145.489256910669,150.897833960001,149.232002323662,151.853710362864,21.6367260845248,20.0323929841178,21.751314173769,23.38693167454,21.5139670781893
2016,0.00399904214559387,0,0,0.598468609742278,0,-5.52170041013976,NA,NA,-0.513381203576311,NA,0.602467651887871,1294.50819672131,13580.3278688525,9643.4262295082,557.377049180328,141.250490723738,153.040704973443,148.095428976505,153.825411764706,21.0616758779476,21.7856654585548,21.0616082643265,21.1704014988573,21.6795626702934
2017,0.0162930930860442,0,0,0.171758914153685,0,-4.11701399802384,NA,NA,-1.7616634473128,NA,0.188052007239729,16644.262295082,37437.7049180328,46938.8196721311,1284.50819672131,148.07229390328,144.356614266322,142.939785587657,137.650781698679,18.772093026081,20.4375,18.8293025246763,16.8047802218552,23.4978072468754
2018,0.00274218583444774,0.00444444444444444,0.00173907882241216,0.164093488265115,0,-5.89899992681695,-5.41610040220442,-6.35439971835074,-1.8073189631779,NA,0.17301919736642,3366.52459016393,11440.6557377049,10046.4098360656,500.688524590164,141.007046231459,152.183154697083,146.442528201086,153.819920110012,20.5482864335974,20.7166665395101,21.537815983759,19.9178834995464,22.4129661285217
